,Unnamed: 0,Postleitzahl,Anzahl,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
363,364,8880.0,4,8880.0,61.43,SG,3298.0,Walenstadt
364,365,7078.0,4,7078.0,52.55,GR,3506.0,Vaz/Obervaz
365,366,9323.0,4,9323.0,99.87,SG,3217.0,Steinach
366,367,8165.0,4,8165.0,98.58,ZH,93.0,Oberweningen
367,368,9326.0,4,9326.0,0.28,SG,3218.0,Tübach
368,369,8752.0,4,8752.0,24.4,GL,1630.0,Glarus Nord
369,370,6600.0,4,6600.0,65.42,TI,5113.0,Locarno
370,371,3303.0,4,3303.0,98.37,BE,540.0,Jegenstorf
371,372,2513.0,4,2513.0,6.64,BE,740.0,Ligerz
372,373,7505.0,4,7505.0,97.46,GR,3782.0,Celerina/Schlarigna
373,374,8001.0,4,8001.0,4.24,ZH,261.0,Zürich
374,375,9042.0,4,9042.0,79.42,AR,3023.0,Speicher
375,376,9443.0,4,9443.0,5.41,SG,3234.0,Diepoldsau
376,377,3097.0,4,3097.0,0.03,BE,351.0,Bern
377,378,5012.0,4,5012.0,100.0,SO,2574.0,Eppenberg-Wöschnau
378,379,3314.0,4,3314.0,1.71,BE,533.0,Bätterkinden
379,380,9245.0,4,9245.0,0.71,SG,3423.0,Niederhelfenschwil
380,381,3672.0,4,3672.0,0.24,BE,614.0,Linden
381,382,6912.0,4,6912.0,2.62,TI,5192.0,Lugano
382,383,3510.0,4,3510.0,100.0,BE,607.0,Freimettigen
383,384,8640.0,4,8640.0,3.91,SZ,1322.0,Freienbach
384,385,9435.0,4,9435.0,33.47,SG,3231.0,Au (SG)
385,386,9220.0,4,9220.0,5.12,SG,3202.0,Muolen
386,387,8907.0,4,8907.0,100.0,ZH,14.0,Wettswil am Albis
387,388,8108.0,4,8108.0,100.0,ZH,84.0,Dällikon
388,389,3008.0,4,3008.0,7.35,BE,351.0,Bern
389,390,6517.0,4,6517.0,71.57,TI,5001.0,Arbedo-Castione
390,391,6593.0,4,6593.0,86.55,TI,5003.0,Cadenazzo
391,392,8882.0,4,8882.0,18.13,SG,3295.0,Quarten
392,393,1214.0,4,1214.0,1.58,GE,6630.0,Meyrin
393,394,2035.0,4,2035.0,61.89,NE,6407.0,Corcelles-Cormondrèche
394,395,4513.0,4,4513.0,99.89,SO,2550.0,Langendorf
395,396,65.0,4,,,,,
396,397,8201.0,4,,,,,
397,398,1634.0,4,1634.0,0.76,FR,2137.0,Hauteville
398,399,6915.0,4,6915.0,1.94,TI,5192.0,Lugano
399,400,8193.0,4,8193.0,99.92,ZH,55.0,Eglisau
400,401,1023.0,4,1023.0,99.77,VD,5583.0,Crissier
401,402,6374.0,4,6374.0,100.0,NW,1502.0,Buochs
402,403,1860.0,4,1860.0,99.94,VD,5401.0,Aigle
403,404,7180.0,4,7180.0,61.92,GR,3982.0,Disentis/Mustér
404,405,1800.0,4,1800.0,100.0,VD,5890.0,Vevey
405,406,8038.0,4,8038.0,4.46,ZH,261.0,Zürich
406,407,6424.0,4,6424.0,100.0,SZ,1365.0,Lauerz
