,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
408,1669622809-597,https://www.autolina.ch/elektro-auto,59'900,1196,2022.0,269.0,weiss,1196.0,100.0,VD,5721.0,Gland,14733.0,VD,2228.0,Nyon,5721,Gland,2006-09-01
409,1669622809-598,https://www.autolina.ch/elektro-auto,41'050,1800,,136.0,rot,1800.0,100.0,VD,5890.0,Vevey,14872.0,VD,2230.0,Riviera-Pays-d'Enhaut,5890,Vevey,2006-09-01
411,1669622809-600,https://www.autolina.ch/elektro-auto,59'900,1772,2022.0,184.0,weiss,1772.0,0.07,FR,2053.0,Belmont-Broye,15675.0,FR,1001.0,La Broye,2053,Belmont-Broye,2016-01-01
412,1669622809-601,https://www.autolina.ch/elektro-auto,65'080,3930,,299.0,weiss,3930.0,0.17,VS,6199.0,Raron,13162.0,VS,2309.0,Raron,6199,Raron,1848-09-12
413,1669622809-602,https://www.autolina.ch/elektro-auto,34'990,6612,2022.0,136.0,weiss,6612.0,99.94,TI,5091.0,Ascona,11673.0,TI,2104.0,Locarno,5091,Ascona,1848-09-12
414,1669622809-603,https://www.autolina.ch/elektro-auto,69'940,3400,,408.0,weiss,3400.0,94.46,BE,404.0,Burgdorf,15061.0,BE,245.0,Emmental,404,Burgdorf,2010-01-01
415,1669622809-604,https://www.autolina.ch/elektro-auto,36'800,1400,,136.0,blau,1400.0,100.0,VD,5909.0,Cheseaux-Noréaz,14811.0,VD,2224.0,Jura-Nord vaudois,5909,Cheseaux-Noréaz,2006-09-01
416,1669622809-605,https://www.autolina.ch/elektro-auto,54'700,3970,2022.0,218.0,sonstiges,3970.0,0.17,VS,6110.0,Leuk,15618.0,VS,2306.0,Leuk,6110,Leuk,2013-01-01
417,1669622809-606,https://www.autolina.ch/elektro-auto,65'775,8472,,,,8472.0,100.0,ZH,227.0,Seuzach,12977.0,ZH,110.0,Winterthur,227,Seuzach,1848-09-12
418,1669622809-607,https://www.autolina.ch/elektro-auto,137'600,1020,,476.0,schwarz,1020.0,99.94,VD,5591.0,Renens (VD),14580.0,VD,2229.0,Ouest lausannois,5591,Renens (VD),2006-09-01
419,1669622809-608,https://www.autolina.ch/elektro-auto,184'000,1020,,524.0,grau,1020.0,99.94,VD,5591.0,Renens (VD),14580.0,VD,2229.0,Ouest lausannois,5591,Renens (VD),2006-09-01
420,1669622809-609,https://www.autolina.ch/elektro-auto,23'900,1020,2021.0,82.0,sonstiges,1020.0,99.94,VD,5591.0,Renens (VD),14580.0,VD,2229.0,Ouest lausannois,5591,Renens (VD),2006-09-01
421,1669622809-610,https://www.autolina.ch/elektro-auto,144'500,1245,,476.0,grau,1245.0,34.5,GE,6616.0,Collonge-Bellerive,11597.0,GE,2500.0,Cant. de Genève,6616,Collonge-Bellerive,1848-09-12
422,1669622809-611,https://www.autolina.ch/elektro-auto,74'900,6414,2022.0,299.0,grau,6414.0,15.76,SZ,1362.0,Arth,11670.0,SZ,506.0,Schwyz,1362,Arth,1848-09-12
423,1669622809-612,https://www.autolina.ch/elektro-auto,72'900,6926,2020.0,313.0,beige,6926.0,55.42,TI,5236.0,Collina d'Oro,15512.0,TI,2105.0,Lugano,5236,Collina d'Oro,2012-04-01
424,1669622809-613,https://www.autolina.ch/elektro-auto,67'950,8472,,,,8472.0,100.0,ZH,227.0,Seuzach,12977.0,ZH,110.0,Winterthur,227,Seuzach,1848-09-12
425,1669622809-614,https://www.autolina.ch/elektro-auto,67'085,8472,,,,8472.0,100.0,ZH,227.0,Seuzach,12977.0,ZH,110.0,Winterthur,227,Seuzach,1848-09-12
426,1669622809-615,https://www.autolina.ch/elektro-auto,66'935,8472,,,,8472.0,100.0,ZH,227.0,Seuzach,12977.0,ZH,110.0,Winterthur,227,Seuzach,1848-09-12
427,1669622809-616,https://www.autolina.ch/elektro-auto,69'975,8472,,,,8472.0,100.0,ZH,227.0,Seuzach,12977.0,ZH,110.0,Winterthur,227,Seuzach,1848-09-12
428,1669622809-617,https://www.autolina.ch/elektro-auto,69'450,8472,,,,8472.0,100.0,ZH,227.0,Seuzach,12977.0,ZH,110.0,Winterthur,227,Seuzach,1848-09-12
429,1669622809-618,https://www.autolina.ch/elektro-auto,63'430,6032,,204.0,silber,6032.0,26.5,LU,1024.0,Emmen,15563.0,LU,313.0,Hochdorf,1024,Emmen,2013-01-01
430,1669622809-619,https://www.autolina.ch/elektro-auto,48'681,6044,,136.0,grau,6044.0,0.58,LU,1065.0,Root,15581.0,LU,312.0,Luzern-Land,1065,Root,2013-01-01
431,1669622809-620,https://www.autolina.ch/elektro-auto,25'900,8252,2018.0,136.0,weiss,8252.0,0.82,TG,4545.0,Diessenhofen,15473.0,TG,2012.0,Frauenfeld,4545,Diessenhofen,2011-01-01
432,1669622809-621,https://www.autolina.ch/elektro-auto,25'900,1227,,82.0,grau,1227.0,99.88,GE,6608.0,Carouge (GE),11400.0,GE,2500.0,Cant. de Genève,6608,Carouge (GE),1848-09-12
433,1669622809-622,https://www.autolina.ch/elektro-auto,174'900,1227,,524.0,anthrazit,1227.0,99.88,GE,6608.0,Carouge (GE),11400.0,GE,2500.0,Cant. de Genève,6608,Carouge (GE),1848-09-12
434,1669622809-623,https://www.autolina.ch/elektro-auto,45'900,6423,2022.0,204.0,weiss,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
435,1669622809-624,https://www.autolina.ch/elektro-auto,71'900,6423,2022.0,299.0,sonstiges,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
436,1669622809-625,https://www.autolina.ch/elektro-auto,66'800,6423,,265.0,sonstiges,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
437,1669622809-626,https://www.autolina.ch/elektro-auto,64'900,6423,2022.0,265.0,sonstiges,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
438,1669622809-627,https://www.autolina.ch/elektro-auto,64'500,6423,,204.0,sonstiges,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
439,1669622809-628,https://www.autolina.ch/elektro-auto,64'400,6423,,265.0,sonstiges,6423.0,0.46,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
440,1669622809-629,https://www.autolina.ch/elektro-auto,61'900,7075,,184.0,weiss,7075.0,39.39,GR,3911.0,Churwalden,16053.0,GR,1848.0,Plessur,3911,Churwalden,2017-01-01
